slice_id,position_pct,position_decile,section_key,start_para,end_para,start_line,end_line,paragraph_count,char_len_no_punct,sentence_count,median_sentence_len,primary_function,secondary_functions,transition_hits,marker_hits,direct_reader_hits,plain_translation_hits,turn_hits,judgment_hits,scene_hits,humor_hits,fact_anchor_hits,character_pressure_hits,closure_hits,dialogue_hits,inventory_hits
FS00001,0.05,1,V000-P000-C000-S000,1,4,4,16,4,541,15,29,narration,turn|explanation|closure,5,28,3,1,3,0,3,0,15,0,1,1,1
FS00002,0.11,1,V001-P000-C000-S001,5,13,18,39,9,477,8,59.0,narration,explanation|closure|inventory,7,28,2,4,0,1,1,0,16,0,2,0,2
FS00003,0.16,1,V001-P001-C000-S002,14,37,41,90,24,475,8,33.0,humor_aside,inventory|character|narration,3,44,5,0,1,0,3,18,4,5,1,1,6
FS00004,0.22,1,V001-P001-C001-S000,38,51,92,118,14,704,18,18.5,dialogue_scene,humor_aside|narration|turn,3,23,2,0,1,0,3,6,0,1,1,8,1
FS00005,0.27,1,V001-P001-C001-S000,52,60,120,139,9,467,13,36,turn,humor_aside|judgment|narration,4,11,1,0,2,1,2,2,1,1,1,0,0
FS00006,0.33,1,V001-P001-C002-S000,61,72,141,163,12,753,17,30,turn,humor_aside|narration|character,8,28,1,0,6,1,1,6,6,3,1,0,3
FS00007,0.38,1,V001-P001-C002-S000,73,86,165,191,14,661,19,32,turn,humor_aside|dialogue_scene|narration,6,16,1,0,4,0,3,4,0,1,1,2,0
FS00008,0.44,1,V001-P001-C002-S000,87,98,193,215,12,751,21,29,explanation,turn|humor_aside|character,5,22,6,3,3,2,1,4,0,3,0,0,0
FS00009,0.49,1,V001-P001-C002-S000,99,107,217,236,9,494,14,40.0,turn,judgment|humor_aside|narration,4,18,5,0,4,3,4,2,0,0,0,0,0
FS00010,0.55,1,V001-P001-C003-S000,108,118,238,258,11,757,19,42,explanation,humor_aside|inventory|judgment,5,12,0,2,0,1,1,2,2,1,1,0,2
FS00011,0.6,1,V001-P001-C003-S000,119,131,260,284,13,725,17,38,judgment,character|turn|narration,3,11,0,0,1,5,2,0,0,3,0,0,0
FS00012,0.66,1,V001-P001-C003-S000,132,148,286,318,17,693,27,25,turn,character|dialogue_scene|narration,6,24,1,1,5,0,4,2,1,4,2,3,1
FS00013,0.71,1,V001-P001-C004-S000,149,163,323,351,15,708,20,29.5,dialogue_scene,humor_aside|inventory|narration,5,33,5,0,1,0,2,8,1,0,0,14,2
FS00014,0.76,1,V001-P001-C004-S000,164,171,353,367,8,714,13,43,narration,turn|character|explanation,5,20,3,1,3,1,6,0,4,2,0,0,0
FS00015,0.82,1,V001-P001-C004-S000,172,181,369,387,10,724,14,48.5,turn,narration|humor_aside|closure,5,14,1,0,3,0,6,2,0,0,1,1,0
FS00016,0.87,1,V001-P001-C004-S000,182,200,389,425,19,627,18,39.5,humor_aside,narration|turn|character,4,14,0,0,1,0,4,6,0,1,1,0,1
FS00017,0.93,1,V001-P001-C005-S000,201,218,430,464,18,715,23,21,turn,dialogue_scene|humor_aside|narration,6,33,12,0,3,1,5,4,1,1,0,4,2
FS00018,0.98,1,V001-P001-C005-S000,219,230,466,488,12,702,13,45,dialogue_scene,humor_aside|judgment|narration,4,29,3,0,0,2,5,6,0,2,1,9,1
FS00019,1.04,1,V001-P001-C005-S000,231,244,490,516,14,742,15,46,narration,explanation|turn|character,4,11,1,1,1,0,5,0,2,1,0,0,0
FS00020,1.09,1,V001-P001-C005-S000,245,255,518,538,11,658,13,60,turn,narration|judgment|character,6,16,1,0,5,1,7,0,0,1,1,0,0
FS00021,1.15,1,V001-P001-C006-S000,256,267,543,565,12,692,15,47,turn,explanation|humor_aside|narration,9,27,2,3,5,2,4,4,3,0,1,2,1
FS00022,1.2,1,V001-P001-C006-S000,268,278,567,587,11,632,14,35.0,humor_aside,turn|judgment|narration,5,24,2,0,4,3,2,8,3,1,0,0,1
FS00023,1.26,1,V001-P001-C007-S000,279,291,592,616,13,729,13,58,judgment,humor_aside|character|closure,3,27,2,0,1,6,3,6,2,3,3,0,1
FS00024,1.31,1,V001-P001-C007-S000,292,306,618,646,15,677,18,37.0,humor_aside,dialogue_scene|closure|explanation,6,29,4,2,1,2,3,6,3,1,3,4,0
FS00025,1.37,1,V001-P001-C007-S000,307,315,648,664,9,725,11,69,humor_aside,judgment|closure|narration,3,26,4,0,1,3,3,10,1,0,3,0,1
